id,jp,romaji,en,tags,pattern,note
001,"ありがとうございます。","Arigatō gozaimasu.","Thank you.","gratitude;thanks","基本","—"
002,"本当に助かりました。","Hontō ni tasukarimashita.","That really helped.","gratitude;thanks","助かった","—"
003,"わざわざありがとうございます。","Wazawaza arigatō gozaimasu.","Thank you for going out of your way.","gratitude;thanks","わざわざ","—"
004,"ご丁寧にありがとうございます。","Go-teinei ni arigatō gozaimasu.","Thank you for your kindness.","gratitude;thanks","ご丁寧に","Formal"
005,"いつもありがとうございます。","Itsumo arigatō gozaimasu.","Thank you as always.","gratitude;thanks","いつも","Ongoing"
006,"お世話になりました。","O-sewa ni narimashita.","Thank you for your support.","gratitude;thanks","お世話","—"
007,"助かります。","Tasukarimasu.","That helps.","gratitude;appreciation","助かる","Present/future"
008,"感謝します。","Kansha shimasu.","I appreciate it.","gratitude;thanks","感謝","—"
009,"お気遣いありがとうございます。","O-kizukai arigatō gozaimasu.","Thank you for your thoughtfulness.","gratitude;thanks","お気遣い","—"
010,"本当にありがとうございます。","Hontō ni arigatō gozaimasu.","Thank you so much.","gratitude;thanks","本当に","—"
011,"すみません。","Sumimasen.","Excuse me / Sorry.","politeness;apology","軽謝","—"
012,"失礼しました。","Shitsurei shimashita.","Pardon me.","politeness;apology","失礼","—"
013,"ご迷惑をおかけしてすみません。","Gomeiwaku o okake shite sumimasen.","Sorry for the trouble.","politeness;apology","ご迷惑","—"
014,"お待たせしました。","O-matase shimashita.","Sorry to keep you waiting.","politeness;apology","待たせ","—"
015,"大変申し訳ございません。","Taihen mōshiwake gozaimasen.","I sincerely apologize.","politeness;apology","申し訳","Very formal"
016,"ご不便をおかけしました。","Go-fuben o okake shimashita.","Sorry for the inconvenience.","politeness;apology","ご不便","—"
017,"お気を悪くされたらすみません。","O-ki o waruku saretara sumimasen.","Sorry if that offended you.","politeness;apology","配慮","—"
018,"できれば、〜していただけますか。","Dekireba, ~ shite itadakemasu ka?","If possible, could you please ~?","request;polite","〜していただけますか","—"
019,"〜をお願いできますか。","~ o onegai dekimasu ka?","May I request ~?","request;polite","〜をお願いできますか","—"
020,"〜してもよろしいでしょうか。","~ shite mo yoroshii deshō ka?","Would it be alright if I ~?","request;permission","〜してもよろしいでしょうか","—"
021,"恐れ入りますが、〜。","Osoreirimasu ga, ~.","Pardon me, but ~.","request;preface","恐れ入りますが","—"
022,"差し支えなければ、〜。","Sashitsukae nakereba, ~.","If you don’t mind, ~.","request;preface","差し支えなければ","—"
023,"お手すきの際に、〜をお願いします。","O-tesuki no sai ni, ~ o onegai shimasu.","When you have a moment, please ~.","request;timing","お手すきの際に","—"
024,"ご確認をお願いいたします。","Go-kakunin o onegai itashimasu.","Please confirm.","request;polite","ご確認","—"
025,"ご対応ありがとうございます。","Go-taiō arigatō gozaimasu.","Thank you for handling this.","gratitude;thanks","ご対応","—"
026,"念のため、再度共有いたします。","Nen no tame, saido kyōyū itashimasu.","Just in case, sharing again.","politeness;process","念のため","—"
027,"よろしくお願いいたします。","Yoroshiku onegai itashimasu.","Thank you in advance.","politeness;closing","よろしく","—"
028,"どうぞよろしくお願いします。","Dōzo yoroshiku onegai shimasu.","I appreciate your support.","politeness;closing","どうぞよろしく","—"
029,"恐れ入りますが、少々お待ちいただけますか。","Osoreirimasu ga, shōshō omachi itadakemasu ka?","Pardon me, could you wait a moment?","request;waiting","少々お待ち","—"
030,"お忙しいところ、ありがとうございます。","O-isogashii tokoro, arigatō gozaimasu.","Thanks for your time despite being busy.","gratitude;thanks","お忙しいところ","—"
031,"確認でき次第、ご連絡いたします。","Kakunin deki shidai, go-renraku itashimasu.","I’ll contact you once confirmed.","politeness;process","〜し次第","—"
032,"念のため、こちらで引き受けます。","Nen no tame, kochira de hikiukemasu.","I’ll handle it just in case.","politeness;assist","引き受け","—"
033,"ご教示いただけますと幸いです。","Go-kyōji itadakemasu to saiwai desu.","I’d appreciate your guidance.","request;polite","ご教示","Formal"
034,"ご返信ありがとうございます。","Go-henshin arigatō gozaimasu.","Thank you for your reply.","gratitude;thanks","ご返信","—"
035,"ご協力に感謝いたします。","Go-kyōryoku ni kansha itashimasu.","Thanks for your cooperation.","gratitude;thanks","ご協力","—"
036,"お気をつけてお帰りください。","O-ki o tsukete okaeri kudasai.","Please get home safely.","politeness;close","気をつけて","—"
037,"引き続き、よろしくお願いいたします。","Hiki-tsuzuki, yoroshiku onegai itashimasu.","Thanks in advance, as always.","politeness;closing","引き続き","—"
038,"ご無理のない範囲でお願いいたします。","Go-muri no nai han’i de onegai itashimasu.","Only if it’s not a hassle.","request;grace","無理のない範囲で","—"
039,"お心遣いに感謝いたします。","O-kokorozukai ni kansha itashimasu.","Thank you for your kindness.","gratitude;thanks","お心遣い","—"
040,"念のため、再確認させてください。","Nen no tame, sai-kakunin sasete kudasai.","Let me double-check just in case.","politeness;confirm","再確認","—"
041,"本日はありがとうございました。","Honjitsu wa arigatō gozaimashita.","Thank you for today.","gratitude;close","本日","—"
042,"またよろしくお願いいたします。","Mata yoroshiku onegai itashimasu.","Looking forward to your continued support.","politeness;close","またよろしく","—"
043,"恐れ入ります、順番にご案内いたします。","Osoreirimasu, junban ni go-annai itashimasu.","Pardon me, we’ll guide you in order.","service;staff","案内","Staff"
044,"少々お待ちください。","Shōshō omachi kudasai.","Please wait a moment.","service;staff","少々お待ち","Staff"
045,"大変お待たせいたしました。","Taihen o-matase itashimashita.","Thank you for waiting.","service;staff","お待たせ","Staff"
046,"申し訳ございません、只今満席でございます。","Mōshiwake gozaimasen, tadaima manseki de gozaimasu.","We’re sorry; we’re full at the moment.","service;staff","満席","Staff"
047,"ご協力ありがとうございます。","Go-kyōryoku arigatō gozaimasu.","Thank you for your cooperation.","service;staff","ご協力","Staff"
048,"お力になれて光栄です。","O-chikara ni narete kōei desu.","I’m honored to help.","politeness;thanks","光栄","—"
049,"お気になさらないでください。","O-ki ni nasaranaide kudasai.","Please don’t worry about it.","politeness;grace","気になさらないで","—"
050,"恐縮です。","Kyōshuku desu.","I’m humbled / It’s an honor.","politeness;humble","恐縮です","—"
051,"大丈夫ですよ。","Daijōbu desu yo.","It’s okay.","politeness;grace","大丈夫","—"
052,"どういたしまして。","Dō itashimashite.","You’re welcome.","politeness;reply","返礼","—"
053,"こちらこそ、ありがとうございます。","Kochira koso, arigatō gozaimasu.","Thank you, too.","politeness;reply","こちらこそ","—"
054,"助けていただいて、心強かったです。","Tasukete itadaite, kokorozuyokatta desu.","Your help was reassuring.","gratitude;thanks","心強い","—"
055,"すぐに対応していただき、ありがとうございました。","Sugu ni taiō shite itadaki, arigatō gozaimashita.","Thanks for the quick response.","gratitude;thanks","迅速","—"
056,"お手数をおかけしますが、よろしくお願いします。","O-tesū o okake shimasu ga, yoroshiku onegai shimasu.","Sorry for the trouble, and thank you.","request;apology","お手数","—"
057,"丁寧にご説明いただき、ありがとうございます。","Teinei ni go-setsumei itadaki, arigatō gozaimasu.","Thank you for the clear explanation.","gratitude;thanks","ご説明","—"
058,"重ねてお礼申し上げます。","Kasanete orei mōshiagemasu.","I’d like to thank you again.","gratitude;thanks","重ねて","Formal"
059,"お詫び申し上げます。","Owabi mōshiagemasu.","My apologies.","politeness;apology","お詫び","Formal"
060,"至らない点があり、申し訳ありません。","Itaranai ten ga ari, mōshiwake arimasen.","I’m sorry for any shortcomings.","politeness;apology","至らない点","—"
061,"ご安心ください。","Go-anshin kudasai.","Please rest assured.","politeness;assure","安心","—"
062,"確認のため、復唱します。","Kakunin no tame, fukushō shimasu.","I’ll repeat to confirm.","politeness;confirm","復唱","—"
063,"お力添えありがとうございます。","O-chikarazoe arigatō gozaimasu.","Thank you for your support.","gratitude;thanks","お力添え","—"
064,"ご心配をおかけしました。","Go-shinpai o okake shimashita.","Sorry to have worried you.","politeness;apology","ご心配","—"
065,"温かいお言葉、ありがとうございます。","Atatakai o-kotoba, arigatō gozaimasu.","Thank you for the kind words.","gratitude;thanks","お言葉","—"
066,"念のため、こちらで確認いたします。","Nen no tame, kochira de kakunin itashimasu.","We’ll confirm on our side just in case.","service;staff","確認","Staff"
067,"順番にご案内いたしますので、少々お待ちください。","Junban ni go-annai itashimasu node, shōshō omachi kudasai.","We’ll assist in order; please wait a moment.","service;staff","ご案内","Staff"
068,"ご不明点があれば、お気軽にお尋ねください。","Go-fumei ten ga areba, o-kigaru ni o-tazune kudasai.","If anything’s unclear, feel free to ask.","service;staff","お気軽に","Staff"
069,"またのご利用をお待ちしております。","Mata no go-riyō o omachi shite orimasu.","We look forward to serving you again.","service;staff","またのご利用","Staff"
070,"この度はありがとうございました。","Kono tabi wa arigatō gozaimashita.","Thank you this time.","gratitude;close","この度","—"
071,"お手数ですが、こちらにご記入ください。","O-tesū desu ga, kochira ni go-ki’nyū kudasai.","Sorry for the trouble, please fill this out.","service;request","記入","—"
072,"お掛けになってお待ちください。","O-kake ni natte o-machi kudasai.","Please have a seat and wait.","service;staff","着席","—"
