id,jp,romaji,en,tags,pattern,note
001,"住所はここです。","Jūsho wa koko desu.","This is the address.","admin;address","住所","—"
002,"建物名と部屋番号は〇〇です。","Tatemono-mei to heya-bangō wa 〇〇 desu.","Building and room number are ~.","admin;address","部屋番号","Replace 〇〇"
003,"郵便番号は〇〇です。","Yūbin bangō wa 〇〇 desu.","The postal code is ~.","admin;address","郵便番号","—"
004,"宛名はローマ字でも大丈夫ですか。","Atena wa rōmaji demo daijōbu desu ka?","Is romanized name okay?","admin;address","宛名","—"
005,"宅配ボックスはありますか。","Takuhai bokkusu wa arimasu ka?","Is there a delivery box?","admin;delivery","宅配ボックス","—"
006,"不在票が届きました。再配達をお願いできますか。","Fuzaihyō ga todokimashita. Sai-haitatsu o onegai dekimasu ka?","I got a missed delivery slip. Can I request redelivery?","admin;delivery","不在票／再配達","—"
007,"配達の時間帯を指定できますか。","Haitatsu no jikan-tai o shitei dekimasu ka?","Can I choose a delivery time window?","admin;delivery","時間帯指定","—"
008,"最短はいつになりますか。","Saitan wa itsu ni narimasu ka?","What’s the earliest?","admin;delivery","最短","—"
009,"玄関前に置き配できますか。","Genkan-mae ni oki-hai dekimasu ka?","Can you leave it at the door?","admin;delivery","置き配","—"
010,"受け取りに来ました。","Uketori ni kimashita.","I’m here to pick it up.","admin;pickup","受け取り","—"
011,"予約番号は〇〇です。","Yoyaku bangō wa 〇〇 desu.","Reservation number is ~.","admin;pickup","予約番号","—"
012,"本人確認が必要ですか。","Hon’nin kakunin ga hitsuyō desu ka?","Do you need ID verification?","admin;pickup","本人確認","—"
013,"ここで待てばいいですか。","Koko de mateba ii desu ka?","Should I wait here?","admin;counter","待つ","—"
014,"呼ばれたら教えてください。","Yobaretara oshiete kudasai.","Please let me know when I’m called.","admin;counter","呼ばれたら","—"
015,"記入例はありますか。","Ki’nyū-rei wa arimasu ka?","Do you have a sample form?","admin;forms","記入例","—"
016,"ここはローマ字で書きますか。","Koko wa rōmaji de kakimasu ka?","Write this in roman letters?","admin;forms","ローマ字","—"
017,"署名と押印が必要ですか。","Shomei to oin ga hitsuyō desu ka?","Need signature and seal?","admin;forms","押印","—"
018,"現住所はここです。","Gen-jūsho wa koko desu.","This is my current address.","admin;forms","現住所","—"
019,"記入に間違いがあれば教えてください。","Ki’nyū ni machigai ga areba oshiete kudasai.","Please tell me if anything is filled wrong.","admin;forms","確認","—"
020,"ATMで振り込みをしたいです。","ATM de furikomi o shitai desu.","I want to make a bank transfer.","admin;atm","振り込み","—"
021,"残高照会はどこでできますか。","Zandaka shōkai wa doko de dekimasu ka?","Where can I check balance?","admin;atm","残高照会","—"
022,"暗証番号を間違えました。どうすればいいですか。","Anshō bangō o machigaemashita. Dō sureba ii desu ka?","I entered the wrong PIN. What should I do?","admin;atm","暗証番号","—"
023,"カードが読み込まれません。","Kādo ga yomi-komaremasen.","The card isn’t being read.","admin;atm","読み込み","—"
024,"手数料はいくらですか。","Tesūryō wa ikura desu ka?","What’s the fee?","admin;atm","手数料","—"
025,"現金で払います。","Genkin de haraimasu.","I’ll pay cash.","admin;payment","現金","—"
026,"カードは使えますか。","Kādo wa tsukaemasu ka?","Do you take cards?","admin;payment","カード","—"
027,"ICカードで払えますか。","IC kādo de haraemasu ka?","Can I pay by IC card?","admin;payment","IC","—"
028,"QR決済は使えますか。","QR kessai wa tsukaemasu ka?","Do you take QR payments?","admin;payment","QR","—"
029,"領収書をお願いします。","Ryōshūsho o onegai shimasu.","Receipt, please.","admin;payment","領収書","—"
030,"分割払いはできますか。","Bunkatsu barai wa dekimasu ka?","Can I pay in installments?","admin;payment","分割","—"
031,"送付先はこの住所でお願いします。","Sōfu-saki wa kono jūsho de onegai shimasu.","Send it to this address, please.","admin;address","送付先","—"
032,"返送先はこちらです。","Hensō-saki wa kochira desu.","Return address is here.","admin;address","返送先","—"
033,"氏名（フルネーム）を記入します。","Shimei (furunēmu) o ki’nyū shimasu.","I’ll write my full name.","admin;forms","氏名","—"
034,"生年月日は〇〇です。","Seinengappi wa 〇〇 desu.","My birth date is ~.","admin;forms","生年月日","—"
035,"在留カードを提示します。","Zairyū kādo o teiji shimasu.","I’ll show my residence card.","admin;id","在留カード","—"
036,"電話番号は〇〇です。","Denwa bangō wa 〇〇 desu.","My phone number is ~.","admin;forms","電話番号","—"
037,"メールアドレスは〇〇です。","Mēru adoresu wa 〇〇 desu.","Email address is ~.","admin;forms","メール","—"
