id,jp,romaji,en,tags,pattern,note
001,"昨日の作業は〇〇です。","Kinō no sagyō wa 〇〇 desu.","Yesterday I worked on ~.","nsicu;standup","作業は〇〇です","Replace 〇〇"
002,"今日は△△を進めます。","Kyō wa △△ o susumemasu.","Today I’ll work on ~.","nsicu;standup","〜を進めます","Replace △△"
003,"ブロッカーはありません。","Burokkā wa arimasen.","No blockers.","nsicu;standup","—","—"
004,"チケット〇〇は完了し、PRを出しました。","Chiketto 〇〇 wa kanryō shi, PR o dashimashita.","Ticket ~ is done; PR opened.","nsicu;tickets","チケット〇〇は完了","Replace 〇〇"
005,"マージ後、ステージングにデプロイします。","Māji-go, sutējingu ni depuroi shimasu.","After merge, deploy to staging.","nsicu;release","—","—"
006,"UATのフィードバックを反映しました。","UAT no fīdobakku o han’ei shimashita.","Incorporated UAT feedback.","nsicu;uat","—","—"
007,"受け入れ条件は満たしました。","Ukeire jōken wa mitashimashita.","Acceptance criteria are met.","nsicu;uat","—","—"
008,"ご確認ありがとうございます。","Gokakunin arigatō gozaimasu.","Thank you for checking.","nsicu;meeting","—","—"
009,"レビューをお願いできますか。","Rebyū o onegai dekimasu ka?","Could you review this?","nsicu;pr","依頼","—"
010,"認証はJWTで実装しています。","Ninshō wa JWT de jissō shite imasu.","Auth is implemented with JWT.","nsicu;backend;auth","—","—"
011,"セッションはuser_sessionに記録します。","Sesshon wa user_session ni kiroku shimasu.","Sessions are recorded in user_session.","nsicu;backend;auth","—","—"
012,"FHIRのObservationを返します。","FHIR no Observation o kaeshimasu.","Returns a FHIR Observation.","nsicu;backend;fhir","—","—"
013,"OperationOutcomeでエラーを返します。","OperationOutcome de erā o kaeshimasu.","Errors return OperationOutcome.","nsicu;backend;fhir","—","—"
014,"/fhir/metadataで稼働確認できます。","/fhir/metadata de kadō kakunin dekimasu.","Capability/health can be checked at /fhir/metadata.","nsicu;backend;fhir","—","—"
015,"バイタルはOCRから保存します。","Baitaru wa OCR kara hozon shimasu.","Vitals are saved from OCR.","nsicu;clinical","—","—"
016,"血圧のペアを検証します。","Ketsuatsu no pea o kenshō shimasu.","Validate BP pairing.","nsicu;clinical","—","—"
017,"人工呼吸器設定を登録しました。","Jinkō kokyūki settei o tōroku shimashita.","Saved ventilator settings.","nsicu;vent","—","—"
018,"IN/OUTバランスを計算します。","In/Out baransu o keisan shimasu.","Calculate IN/OUT balance.","nsicu;io","—","—"
019,"単位と時間帯を確認してください。","Tan’i to jikantai o kakunin shite kudasai.","Please validate units and time window.","nsicu;io","—","—"
020,"サービス経由でAPIを呼び出します。","Sābisu keiyu de API o yobidashimasu.","Call APIs via the service layer.","nsicu;frontend","—","—"
021,"型はtypesに定義しています。","Kata wa types ni teigi shite imasu.","Types are defined in types.","nsicu;frontend","—","—"
022,"バランス表はユーティリティで計算します。","Baransu hyō wa yūtiritī de keisan shimasu.","Balance table uses a helper.","nsicu;frontend","—","—"
023,"入力のバリデーションを追加しました。","Nyūryoku no baridēshon o tsuika shimashita.","Added input validation.","nsicu;frontend","—","—"
024,"この変更は後方互換です。","Kono henkō wa kōhō gokan desu.","This change is backward-compatible.","nsicu;meeting","—","—"
025,"影響範囲は限定的です。","Eikyō han’i wa gentei-teki desu.","Impact is limited.","nsicu;meeting","—","—"
026,"ロールバック手順はRunbookにあります。","Rōrubakku tejun wa Runbook ni arimasu.","Rollback steps are in the Runbook.","nsicu;release","—","—"
027,"仕様の前提を教えてください。","Shiyō no zentei o oshiete kudasai.","Please share the assumptions.","nsicu;meeting","—","—"
028,"エッジケースの例はありますか。","Ejji kēsu no rei wa arimasu ka?","Any edge case examples?","nsicu;testing","—","—"
029,"スクリーンショットをいただけますか。","Sukurīnshotto o itadakemasu ka?","Could you share a screenshot?","nsicu;uat","—","—"
030,"証跡を添付しました。","Shōseki o tenpu shimashita.","Attached evidence.","nsicu;uat","—","—"
031,"再現手順はこちらです。","Saigen tejun wa kochira desu.","Here are repro steps.","nsicu;uat","—","—"
032,"ステージングで確認します。","Sutējingu de kakunin shimasu.","We’ll verify on staging.","nsicu;release","—","—"
033,"本番適用は業務時間外で行います。","Honban tekiyō wa gyōmu jikan-gai de okonaimasu.","Production rollout after hours.","nsicu;release","—","—"
034,"オンコール体制で待機します。","Onkōru taisei de taiki shimasu.","We’ll be on-call.","nsicu;release","—","—"
035,"パフォーマンスに影響はありません。","Pafōmansu ni eikyō wa arimasen.","No performance impact.","nsicu;meeting","—","—"
036,"監視にアラートを追加しました。","Kanshi ni arāto o tsuika shimashita.","Added a monitoring alert.","nsicu;ops","—","—"
037,"ご質問はありますか。","Go shitsumon wa arimasu ka?","Any questions?","nsicu;meeting","—","—"
038,"この件はクローズします。","Kono ken wa kurōzu shimasu.","I’ll close this item.","nsicu;meeting","—","—"
039,"チケット40は完了です。","Chiketto yonjū wa kanryō desu.","Ticket 40 is completed.","nsicu;tickets","—","—"
040,"チケット45は完了です。","Chiketto yonjūgo wa kanryō desu.","Ticket 45 is completed.","nsicu;tickets","—","—"


